                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 2.1633,                 2.3925,                  3.059,                0.00033,                   0.05,                0.00021,                  3e-05,                 3.1301,                 4.6736,                 4.2707,             0.00067138,             0.00067138,             0.00067138
                     38,                 2.1818,                 2.1475,                 2.7845,                0.00033,                   0.05,                0.00021,                  5e-05,                  3.136,                 4.6853,                  4.281,             0.00067917,             0.00067917,             0.00067917
                     39,                 1.9262,                 1.9969,                 2.6641,                0.00033,                   0.05,                0.00021,                  5e-05,                 3.1443,                 4.7008,                 4.2934,             0.00068639,             0.00068639,             0.00068639
                     40,                 2.0187,                 1.8969,                 2.5641,                0.00033,                   0.05,                0.00021,                  5e-05,                 3.1443,                 4.7008,                 4.2934,             0.00069304,             0.00069304,             0.00069304
                     41,                  1.996,                 1.9755,                 2.7946,                0.00033,                   0.05,                0.00021,                  5e-05,                 3.1739,                 4.6569,                 4.2855,             0.00069912,             0.00069912,             0.00069912
                     42,                 2.0009,                  1.953,                 2.8522,                0.00033,                   0.05,                0.00021,                  5e-05,                 3.2108,                 4.6126,                 4.2847,             0.00070464,             0.00070464,             0.00070464
                     43,                 1.8764,                 1.8155,                 2.5105,                0.00033,                   0.05,                0.00021,                  5e-05,                 3.2108,                 4.6126,                 4.2847,              0.0007096,              0.0007096,              0.0007096
                     44,                 2.0372,                 1.8357,                  2.496,                0.00033,                   0.05,                0.00021,                  5e-05,                 3.2521,                  4.568,                 4.2904,             0.00071399,             0.00071399,             0.00071399
                     45,                 1.8429,                  1.626,                 2.3365,                0.00033,                   0.05,                0.00021,                  5e-05,                 3.2521,                  4.568,                 4.2904,             0.00071781,             0.00071781,             0.00071781
                     46,                 1.8142,                 1.8731,                 2.8459,                0.00033,                   0.05,                0.00021,                  5e-05,                 3.2964,                 4.5166,                 4.2886,             0.00072107,             0.00072107,             0.00072107
                     47,                  1.966,                 1.7783,                 2.4642,                0.00033,                   0.05,                0.00021,                  5e-05,                 3.2964,                 4.5166,                 4.2886,             0.00072376,             0.00072376,             0.00072376
                     48,                 1.8739,                 1.7898,                 2.5234,                0.00057,                0.03333,                0.00032,                  3e-05,                 3.3776,                 4.4282,                 4.2768,             0.00072588,             0.00072588,             0.00072588
                     49,                 1.8132,                 1.7844,                  2.455,                0.00057,                0.03333,                0.00032,                  3e-05,                 3.3776,                 4.4282,                 4.2768,             0.00072744,             0.00072744,             0.00072744
